년,월,역사명,환승역구분,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,Y좌표 (WGS84),X좌표 (WGS84),X좌표 (GRS80TM),Y좌표 (GRS80TM),geometry
2025,7,한강진,일반역,26,1581,12145,28136,51184,36592,25159,24299,26126,31776,31898,37118,48434,60031,69806,42907,30960,26145,6274,2055,155,0,0,37.53956,127.001729,955980.8907640373,1949031.8542150275,POINT (955980.8907640373 1949031.8542150275)
2025,7,한국항공대,일반역,0,1486,3524,6821,10964,8727,5447,4777,5870,5075,5320,5520,8191,9410,8618,5692,4098,3292,2354,489,0,0,0,37.603102,126.868291,944239.7667348774,1956152.3999259963,POINT (944239.7667348774 1956152.3999259963)
2025,7,한남역,일반역,176,1727,7224,15113,18846,15257,10233,9288,9717,9083,9573,11004,13158,20279,20004,10970,7739,7402,2471,374,0,0,0,37.529361,127.008984,956615.9205896859,1947896.9611913343,POINT (956615.9205896859 1947896.9611913343)
2025,7,한성대입구(삼선교),일반역,36,8895,23773,50653,70430,54646,38786,37240,40359,42423,39850,43940,55198,62983,67821,47039,34748,32776,15832,5893,1426,0,0,37.58838,127.005951,956382.3538838781,1954446.2169388863,POINT (956382.3538838781 1954446.2169388863)
2025,7,한성백제,일반역,1,1878,5328,12101,23314,13177,7942,7854,7884,8529,7980,8438,10406,13731,21582,13304,8322,8237,3525,1013,0,0,0,37.516369,127.116211,966084.2023281517,1946411.5202988288,POINT (966084.2023281517 1946411.5202988288)
2025,7,한양대,일반역,3,1872,10883,18039,49382,59447,27639,24980,32249,36174,27716,28239,36581,51755,50765,25732,18059,17579,9170,2372,7,0,0,37.555758,127.0436594,959693.9221033666,1950810.1293984829,POINT (959693.9221033666 1950810.1293984829)
2025,7,한티역,일반역,16,4555,21544,60664,85196,65168,43951,40446,52237,58774,47578,52601,64979,97477,94124,59021,49431,44534,10634,558,0,0,0,37.496208,127.052883,960477.1919048628,1944199.498384865,POINT (960477.1919048628 1944199.498384865)
2025,7,합정,환승역,147,18836,44857,108361,224389,173969,115377,119788,130506,146661,141342,152618,181806,238168,344578,224314,159127,159723,84529,20722,97,0,0,37.550025,126.914557,948286.9578445771,1950237.2716897617,POINT (948286.9578445771 1950237.2716897617)
2025,7,행당,일반역,37,4726,14979,39453,54681,28738,19917,18870,20066,20236,19417,22232,25382,31637,44743,27811,18737,17025,7339,2076,1,0,0,37.557297,127.029482,958442.557138388,1950987.046996549,POINT (958442.557138388 1950987.046996549)
2025,7,행신역,일반역,4,6183,19968,44393,43074,21592,16883,17248,17337,16510,15959,16938,24658,32828,48958,33487,20544,19539,8680,2231,0,0,0,37.612125,126.834063,941225.5667366055,1957174.348680148,POINT (941225.5667366055 1957174.348680148)
2025,7,혜화,일반역,31,5539,34614,74661,147581,117316,99507,100388,115617,134364,134428,139621,157373,189661,206889,130893,95127,122541,40442,7226,444,0,0,37.582116,127.001929,956023.5800728003,1953753.130714649,POINT (956023.5800728003 1953753.130714649)
2025,7,홍대입구,환승역,997,36479,61912,135702,254809,258846,230865,275003,322712,353393,353118,382619,427805,495616,577160,444336,371697,373613,181853,36999,1962,0,0,37.556748,126.923643,949094.1179820655,1950978.196258571,POINT (949094.1179820655 1950978.196258571)
2025,7,홍제,일반역,117,12204,32834,79808,98900,66408,51161,46960,49463,48151,48643,54988,61437,74149,94266,67074,44367,38933,17245,4411,5,0,0,37.588851,126.944092,950921.3331351083,1954528.996833168,POINT (950921.3331351083 1954528.996833168)
2025,7,화계,일반역,7,2865,6910,16333,21871,15866,12701,12314,13282,11719,10853,11783,13011,12822,15601,13227,8560,6375,3295,1144,4,0,0,37.63428,127.0175,957428.1490194267,1959533.3265824947,POINT (957428.1490194267 1959533.3265824947)
2025,7,화곡,일반역,539,26591,56893,139663,188702,101596,66116,61197,66287,65455,64036,71566,87727,110474,172068,115732,74440,68735,32511,9126,1,0,0,37.541585,126.840436,941733.1007972632,1949344.2473423171,POINT (941733.1007972632 1949344.2473423171)
2025,7,화랑대(서울여대입구),일반역,31,8345,28707,67533,66674,34167,23509,21809,23046,24829,21842,25876,30858,39339,51237,38708,23935,20419,11034,3903,14,0,0,37.619875,127.084106,963297.8633868536,1957907.0183287966,POINT (963297.8633868536 1957907.0183287966)
2025,7,화서역,일반역,468,11637,30800,55662,48758,26428,23798,28031,30480,32637,31097,36386,41831,50285,69717,49795,34106,27919,10304,1564,0,0,0,37.28399,126.989581,954754.2237476299,1920684.1261145724,POINT (954754.2237476299 1920684.1261145724)
2025,7,회기역,환승역,1191,17009,37401,95542,130512,84396,64595,63823,70464,72744,67489,79885,88744,109060,124337,87288,62477,63673,37749,6473,0,0,0,37.589602,127.057936,960972.5683971263,1954558.9213781115,POINT (960972.5683971263 1954558.9213781115)
2025,7,회룡역,환승역,2106,18894,38348,71585,65148,44489,37618,37258,38786,36685,35378,38721,43375,50442,59993,52669,32090,25916,12534,5179,3,0,0,37.724037,127.047319,960107.2401165401,1969478.4764638825,POINT (960107.2401165401 1969478.4764638825)
2025,7,회현(남대문시장),일반역,14,2427,29362,70316,173682,120810,105428,110383,104266,105514,110228,114110,126604,144199,159472,77686,64321,31238,9294,1977,99,0,0,37.558698,126.978346,953926.9169377633,1951166.3183090081,POINT (953926.9169377633 1951166.3183090081)
2025,7,효창공원앞,환승역,7,4506,16530,39903,84132,44754,25838,24687,26644,28210,25356,27707,35139,47963,71315,37503,25457,21512,11117,2782,0,0,0,37.539279,126.961348,952413.2784681328,1949020.3485408553,POINT (952413.2784681328 1949020.3485408553)
2025,7,흑석(중앙대입구),일반역,13,5225,13622,34534,48317,32348,25061,24271,28128,27793,25834,28542,33012,48182,46679,30766,22067,19929,9099,3210,43,0,0,37.508889,126.963611,952593.976583269,1945647.6065191687,POINT (952593.976583269 1945647.6065191687)
2025,8,4.19민주묘지,일반역,3,2136,4763,11140,14655,11511,10303,10505,11255,10855,9871,11277,11594,11652,12823,10585,6943,5702,3118,734,0,0,0,37.64954,127.01371,957102.5243733915,1961228.0940842964,POINT (957102.5243733915 1961228.0940842964)
2025,8,가능역,일반역,566,9748,14363,29404,31429,19933,17855,18536,18131,16899,15390,18632,21004,25659,26806,23213,16406,12387,6036,2169,5,0,0,37.748362,127.044251,959850.0082811359,1972178.5976392387,POINT (959850.0082811359 1972178.5976392387)
2025,8,가락시장,환승역,239,10303,27791,59607,98822,56385,46946,46633,47716,49199,49221,55006,60671,78628,101678,57167,42636,36153,15891,4635,590,0,0,37.492318,127.1177,966204.9475942984,1943742.685595979,POINT (966204.9475942984 1943742.685595979)
2025,8,가산디지털단지,환승역,1857,19381,54806,225616,548890,304329,106789,85351,93302,97209,97535,110976,148216,333194,450747,195676,117132,93610,31356,5711,2,0,0,37.480376,126.882704,945422.6081266935,1942528.0895484856,POINT (945422.6081266935 1942528.0895484856)
2025,8,가양,일반역,76,17645,38566,102413,129459,73133,53517,52667,56243,55165,53872,60581,71924,89691,124075,82327,55215,46636,22668,5838,215,0,0,37.561111,126.855078,943041.474068909,1951501.5949794117,POINT (943041.474068909 1951501.5949794117)
2025,8,가오리,일반역,8,3134,7918,19218,23068,16039,13807,13284,14000,13902,12352,14376,16520,16704,18601,16379,9956,8287,3719,1022,0,0,0,37.64162,127.01681,957371.4626228614,1960347.985374767,POINT (957371.4626228614 1960347.985374767)
2025,8,가좌역,일반역,41,3520,11374,25349,34138,19626,14977,13848,16057,15266,15299,16083,20545,24823,29634,21612,13855,10309,5587,544,0,0,0,37.568611,126.914841,948324.8820985131,1952299.1441089737,POINT (948324.8820985131 1952299.1441089737)
2025,8,가천대역,일반역,34,5400,11329,23801,40113,27412,19240,18221,19614,21327,19271,22805,28569,31743,33830,24351,19022,19033,13792,1386,0,0,0,37.448784,127.126677,966979.3662475476,1938909.720828672,POINT (966979.3662475476 1938909.720828672)
2025,8,가평역,일반역,0,1101,3310,6725,10800,11354,12209,18579,14426,12449,10918,9596,8606,10474,9587,7596,5203,3130,1782,571,0,0,0,37.814515,127.510693,1000941.1765195474,1979420.4328620317,POINT (1000941.1765195474 1979420.4328620317)
