NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
121000259,22335,헌인농장,일반차로,127.0847576347,37.4614213099,963277.737437658,1940327.2513154096
121000260,22336,헌인마을.서울농업기술센터,일반차로,127.0914525016,37.4636402535,963870.8732509342,1940570.837998522
121900004,22338,서초소방서,마을버스,126.992551994,37.4983505745,955145.4932560938,1944464.2458313408
121000262,22339,강남역8번출구,일반차로,127.0268505284,37.4975009943,958176.76514951,1944354.1970677292
121900005,22343,헌인가구단지,마을버스,127.086699,37.459688,963448.5805925798,1940134.198262636
121900006,22344,내방역8번출구,일반차로,126.9946948569,37.4881286966,955328.8194300914,1943329.174378392
121900007,22345,교대역5번출구,마을버스,127.0147370359,37.4937995917,957103.89009129,1943949.0017318327
121000985,22347,서초힐스아파트,일반차로,127.016833601,37.4577874974,957268.7232723556,1939952.750623791
121000271,22348,강남역7번출구,일반차로,127.0277969551,37.4969583114,958260.1213542924,1944293.569757849
121900009,22363,사당역1번출구,마을버스,126.9827009681,37.4761745327,954261.21328043,1942008.696519368
121900255,22365,강남의림한방병원,마을버스,126.9834174392,37.4908097066,954333.4716744504,1943632.0263555972
121000289,22367,염곡동구룡사,일반차로,127.047211,37.468475,959961.017727293,1941125.1069177869
121000290,22368,국제전자센터,일반차로,127.017723,37.485159,957362.9329321524,1942989.0279156065
121000294,22372,형촌마을입구(서초네이처힐1.2단지),일반차로,127.0214455478,37.4636885353,957679.9326135282,1940605.347037468
121000299,22378,한국도로교통공단서울지부.코트라,일반차로,127.0443893195,37.4662408667,959710.3033194508,1940878.4488614888
121000300,22379,서초역3번출구,일반차로,127.0077359676,37.4911256302,956483.4567153736,1943655.556408441
121900011,22380,서초구민체육센터,마을버스,126.9903056015,37.4983811835,954946.9464336204,1944468.7146468707
121000302,22381,반포대교남단.한강시민공원입구,일반차로,126.9994684234,37.5078106042,955762.4386372868,1945510.5038218969
121900012,22383,헌인마을,마을버스,127.0901408997,37.4615398772,963753.8698001488,1940338.320499377
121900013,22384,하이브랜드,마을버스,127.0367880249,37.4620911714,959035.852291389,1940421.34817578
121000304,22385,이수역5번출구,일반차로,126.9842072627,37.485489363,954400.0595562384,1943041.3854402583
121000305,22386,방배초등학교,일반차로,126.9863829259,37.4856847977,954592.524114896,1943062.0160951645
121000306,22387,방배고개,일반차로,126.9901827615,37.4864946348,954928.9460161538,1943150.0363678285
121000307,22388,방배역,가로변시간,126.9984233379,37.4814459842,955654.4858214102,1942586.0083922877
