역번호,역사명,노선번호,노선명,환승역구분,역사도로명주소,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
1853,모란역,I4105,분당선,환승역,경기도 성남시 중원구 성남대로 지하 1147(성남동 1575),127.129064,37.432124,967183.2238946882,1937060.591058872
1854,야탑역,I4105,분당선,일반역,경기도 성남시 성남대로 지하 903(야탑동 688-1),127.128661,37.41132,967138.4801754516,1934752.6985596456
1855,서현역,I4105,분당선,일반역,경기도 성남시 분당구 성남대로 지하 601,127.123249,37.384931,966647.8531198378,1931826.9665677035
1856,수내역,I4105,분당선,일반역,경기도 성남시 분당구 성남대로 지하 491(수내동),127.114216,37.378435,965845.2512153456,1931109.5242008483
1857,정자역,I4105,분당선,환승역,경기도 성남시 분당구 성남대로 지하 333(정자동),127.108091,37.366037,965297.2714616288,1929736.312771669
1858,미금역,I4105,분당선,환승역,경기도 성남시 수정구 성남대로 지하 156,127.108952,37.350078,965366.1790406116,1927965.4946370197
1859,오리역,I4105,분당선,일반역,경기도 성남시 분당구 성남대로 지하 55(구미동 795),127.108985,37.339832,965364.3959583855,1926828.7870531124
1860,이매역,I4105,분당선,환승역,경기도 성남시 성남대로 지하 738,127.128272,37.395846,967097.2901496936,1933036.1262489664
1861,보정역,I4105,분당선,일반역,경기도 용인시 기흥구 용구대로 2560  _x000D_,127.108219,37.31274,965284.0825274969,1923823.479886037
1862,죽전역,I4105,분당선,일반역,경기도 용인시 수지구 포은대로 530(죽전동 1014),127.107385,37.324575,965215.6355733174,1925136.760573772
1863,구성역,I4105,분당선,환승역,경기도 용인시 기흥구 용구대로 2403,127.105664,37.299013,965051.3293246276,1922301.5521748527
1864,신갈역,I4105,분당선,일반역,경기도 용인시 기흥구 기흥로 136,127.111311,37.286127,965545.929991656,1920869.914359643
1865,기흥역,I4105,분당선,환승역,경기도 용인시 중부대로 460,127.115944,37.275657,965951.8927307096,1919706.7033108969
1866,상갈역,I4105,분당선,일반역,경기도 용인시 기흥구 금화로 지하 40,127.108718,37.261797,965304.9173573584,1918171.714138967
1867,청명역,I4105,분당선,일반역,경기도 수원시 영통구 봉영로 지하 1670,127.078945,37.259485,962663.7836783802,1917926.5545343268
1868,영통역,I4105,분당선,일반역,경기도 수원시 영통구 봉영로 지하 1560,127.071341,37.251521,961985.5091102952,1917046.0643678475
1869,망포역,I4105,분당선,일반역,경기도 수원시 영통구 봉영로 지하 1520,127.057367,37.245793,960743.2838350924,1916416.3106295732
1870,매탄권선역,I4105,분당선,일반역,경기도 수원시 영통구 권선로 841,127.040824,37.252458,959279.6787594596,1917162.706778432
1871,수원시청역,I4105,분당선,일반역,경기도 수원시 권선구 효원로 270,127.030736,37.261941,958390.2729624308,1918219.1298129505
1872,매교역,I4105,분당선,일반역,경기도 수원시 팔달구 효원로 126,127.015657,37.265502,957055.2288425666,1918620.9215201
4101,개화,S1109,9호선,일반역,서울특별시 강서구 개화동로8길 19,126.798333,37.578611,938044.2782779208,1953479.0555046464
4102,김포공항,S1109,9호선,환승역,서울특별시 강서구 하늘길 지하77,126.801633,37.562056,938322.0140699804,1951640.1715880795
4103,공항시장,S1109,9호선,일반역,서울특별시 강서구 방화동로 지하30,126.810278,37.563611,939086.7941066122,1951807.0539922768
4104,신방화,S1109,9호선,일반역,서울특별시 강서구 방화대로 지하301,126.816667,37.5675,939654.1868133056,1952234.4006958767
4105,마곡나루(서울식물원),S1109,9호선,환승역,서울특별시 강서구 마곡중앙5로 지하2,126.8276071,37.566717,940619.7078664168,1952140.5606888025
4106,양천향교,S1109,9호선,일반역,서울특별시 강서구 양천로 지하341,126.841389,37.568333,941838.0842149964,1952311.229563417
4107,가양,S1109,9호선,일반역,서울특별시 강서구 양천로 지하485,126.855078,37.561111,943041.474068909,1951501.594979412
