기준연월,자치구,숙박방문자수,평균 숙박일수,평균체류시간(시간),전국 평균체류시간(시간),연도,월,분기
202510,영등포구,9418831.0,2.83,11.32,16.67,2025,10,Q4
202511,영등포구,10007558.0,2.79,9.87,14.57,2025,11,Q4
202512,영등포구,9860580.0,2.74,10.3,16.33,2025,12,Q4
202501,용산구,8179998.0,2.56,6.98,17.83,2025,01,Q1
202502,용산구,8045213.0,2.63,6.5,16.9,2025,02,Q1
202503,용산구,9501357.0,2.7,7.75,21.33,2025,03,Q1
202504,용산구,8532733.0,2.6,5.4,14.27,2025,04,Q2
202505,용산구,10082287.0,2.76,8.33,19.63,2025,05,Q2
202506,용산구,9526816.0,2.61,6.1,15.13,2025,06,Q2
202507,용산구,9632935.0,2.65,6.88,17.5,2025,07,Q3
202508,용산구,9990949.0,2.58,6.68,16.43,2025,08,Q3
202509,용산구,9767376.0,2.64,6.65,17.3,2025,09,Q3
202510,용산구,9767599.0,2.59,6.28,16.67,2025,10,Q4
202511,용산구,10156219.0,2.6,5.97,14.57,2025,11,Q4
202512,용산구,10031113.0,2.54,6.28,16.33,2025,12,Q4
202501,은평구,2593431.0,2.99,24.88,17.83,2025,01,Q1
202502,은평구,2342380.0,3.12,23.98,16.9,2025,02,Q1
202503,은평구,2857949.0,3.1,27.5,21.33,2025,03,Q1
202504,은평구,2465571.0,3.01,21.4,14.27,2025,04,Q2
202505,은평구,2938114.0,3.18,30.1,19.63,2025,05,Q2
202506,은평구,2678887.0,3.06,23.1,15.13,2025,06,Q2
202507,은평구,2826880.0,3.12,25.25,17.5,2025,07,Q3
202508,은평구,2734039.0,3.03,23.32,16.43,2025,08,Q3
202509,은평구,2636430.0,3.05,22.48,17.3,2025,09,Q3
202510,은평구,2884551.0,3.07,25.8,16.67,2025,10,Q4
202511,은평구,2710493.0,3.07,22.0,14.57,2025,11,Q4
202512,은평구,2693754.0,3.08,25.25,16.33,2025,12,Q4
202501,종로구,9949705.0,2.57,5.88,17.83,2025,01,Q1
202502,종로구,10170354.0,2.62,5.83,16.9,2025,02,Q1
202503,종로구,12703198.0,2.72,7.37,21.33,2025,03,Q1
202504,종로구,11541649.0,2.55,4.67,14.27,2025,04,Q2
202505,종로구,12984045.0,2.64,5.72,19.63,2025,05,Q2
202506,종로구,12044653.0,2.6,4.98,15.13,2025,06,Q2
202507,종로구,11437132.0,2.62,5.83,17.5,2025,07,Q3
202508,종로구,11245728.0,2.6,5.82,16.43,2025,08,Q3
202509,종로구,12675322.0,2.71,6.38,17.3,2025,09,Q3
202510,종로구,12370646.0,2.6,4.93,16.67,2025,10,Q4
202511,종로구,13150574.0,2.6,4.92,14.57,2025,11,Q4
202512,종로구,12813773.0,2.55,5.15,16.33,2025,12,Q4
202501,중구,10507210.0,2.57,4.52,17.83,2025,01,Q1
202502,중구,10862640.0,2.69,4.92,16.9,2025,02,Q1
202503,중구,12478970.0,2.67,5.03,21.33,2025,03,Q1
202504,중구,11852885.0,2.61,3.73,14.27,2025,04,Q2
202505,중구,12708092.0,2.67,4.73,19.63,2025,05,Q2
202506,중구,12134138.0,2.61,4.02,15.13,2025,06,Q2
202507,중구,12310922.0,2.66,4.82,17.5,2025,07,Q3
202508,중구,11964552.0,2.59,4.15,16.43,2025,08,Q3
202509,중구,12843984.0,2.77,4.77,17.3,2025,09,Q3
202510,중구,12540367.0,2.66,3.87,16.67,2025,10,Q4
202511,중구,13701821.0,2.64,3.7,14.57,2025,11,Q4
202512,중구,13685142.0,2.56,3.8,16.33,2025,12,Q4
202501,중랑구,2573109.0,2.92,20.6,17.83,2025,01,Q1
202502,중랑구,2343052.0,3.07,19.95,16.9,2025,02,Q1
202503,중랑구,2883841.0,3.05,22.32,21.33,2025,03,Q1
202504,중랑구,2575966.0,3.03,18.8,14.27,2025,04,Q2
202505,중랑구,3202050.0,3.16,25.15,19.63,2025,05,Q2
202506,중랑구,2727128.0,3.02,18.83,15.13,2025,06,Q2
202507,중랑구,2764286.0,3.08,21.82,17.5,2025,07,Q3
202508,중랑구,2738682.0,2.99,20.0,16.43,2025,08,Q3
202509,중랑구,2729945.0,3.01,19.02,17.3,2025,09,Q3
202510,중랑구,2857786.0,2.96,20.58,16.67,2025,10,Q4
202511,중랑구,2747877.0,3.0,18.6,14.57,2025,11,Q4
202512,중랑구,2773462.0,2.99,21.1,16.33,2025,12,Q4
