분류,자치구,공연/행사명,날짜,장소,기관명,시작일,종료일,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
교육/체험,성북구,[성북여성문화센터] 크리스마스 케이크 만들기,2025-12-23~2025-12-24,성북여성문화센터,성북문화재단,2025.12.23 0:00,2025.12.24 0:00,127.0086624,37.59561707,956625.9347023956,1955247.881112801
콘서트,중랑구,"[중랑문화재단] To Winter, With Love 말로 크리스마스 재즈 콘서트",2025-12-23~2025-12-23, 중랑구청 대강당 ,중랑문화재단,2025.12.23 0:00,2025.12.23 0:00,127.0927248,37.60656359,964052.0580524747,1956426.8420683024
무용,송파구,[송파문화재단] 기획 공연 [호두까기 인형] 2막 발레 공연,2025-12-23~2025-12-23,송파문화예술회관,송파문화재단,2025.12.23 0:00,2025.12.23 0:00,127.0934902,37.50235785,964069.6197642252,1944865.506755208
클래식,성동구,[성동문화재단] 소월 아트갤러리 콘서트 - 시즌Ⅱ,2025-12-23~2025-12-23,소월아트홀,성동문화재단,2025.12.23 0:00,2025.12.23 0:00,127.0360064,37.55930723,959019.9143347088,1951207.2066893373
기타,중구,[서울시] 2026년 서울청년문화패스 신청자 모집,2025-12-22~2026-12-31,온라인 접수,서울시청,2025.12.22 0:00,2026.12.31 0:00,126.978607,37.56672959,953954.9123712032,1952057.2552692527
전시/미술,성동구,월리를 찾아라 특별전,2025-12-22~2026-04-05,서울숲 더서울라이티움 (서울 성동구 서울숲2길 32-14 갤러리아포레),기타,2025.12.22 0:00,2026.4.5 0:00,127.0429147,37.54567733,959622.7086046188,1949692.0539528304
전시/미술,관악구,[관악문화재단] 2025 우주관문스쿨 도시-건축 콘텐츠 기획자 양성 과정 결과보고 전시,2025-12-22~2026-01-20,싱글벙글교육센터 벙글동 1층 문화도시공유공간,관악문화재단,2025.12.22 0:00,2026.1.20 0:00,126.9562881,37.47609625,951925.7599220094,1942013.168454009
연극,종로구,제1회 대중연모노드라마페스타,2025-12-22~2026-01-04,공간아울 (서울 종로구 대학로 120 지하 1층),기타,2025.12.22 0:00,2026.1.4 0:00,127.0022927,37.58187588,956055.5514773496,1953726.3203392248
콘서트,강남구,2025 파리나무십자가소년합창단 특별초청공연,2025-12-22~2025-12-22,광림교회 본당 2층,기타,2025.12.22 0:00,2025.12.22 0:00,127.025985,37.52435576,958115.2670492864,1947333.952824968
축제-전통/역사,종로구,"[운현궁] 2025 운현궁에서 맞이하는 작은 설, 동지",2025-12-22~2025-12-22,운현궁 일원,운현궁,2025.12.22 0:00,2025.12.22 0:00,126.9870834,37.57607865,954709.1445728176,1953090.3684927616
클래식,종로구,(사)프렌즈오브뮤직 30회 정기연주회 - Valhalla Winter,2025-12-22~2025-12-22,세종체임버홀,세종문화회관,2025.12.22 0:00,2025.12.22 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
전시/미술,중구,2025 서울로미디어캔버스 겨울 전시 [숨결],2025-12-21~2026-03-19,서울로미디어캔버스 (서울시 중구 만리재로 215),서울시청,2025.12.21 0:00,2026.3.19 0:00,126.9682176,37.55659104,953031.0358392508,1950937.574762832
전시/미술,종로구,2025 아뜰리에 광화 겨울 전시 [신진작가 공모전],2025-12-21~2026-03-19,광화문광장 ~ 해치마당,서울시청,2025.12.21 0:00,2026.3.19 0:00,126.976788,37.57162282,953797.2950241922,1952601.0282083435
국악,서초구,강태경 거문고 독주회 [다시 산조],2025-12-21~2025-12-21,국립국악원 풍류사랑방,국립국악원,2025.12.21 0:00,2025.12.21 0:00,127.0098185,37.47771881,956659.8114596568,1942167.1973499504
교육/체험,성동구,[성동구립도서관] 12월 영어스토리텔링 수업,2025-12-21~2025-12-21,성동구립도서관,성동문화재단,2025.12.21 0:00,2025.12.21 0:00,127.0349607,37.55917988,958927.4872939902,1951193.5343285764
전시/미술,종로구,"[서울공예박물관] 자수, 염원을 그리다",2025-12-20~2026-12-31,서울공예박물관 전시3동  2층,서울공예박물관,2025.12.20 0:00,2026.12.31 0:00,126.9835334,37.57664817,954396.0225058284,1953155.2712620024
전시/미술,강북구,[강북문화재단] 엘리자베스 랭그리터 특별전 [매일이 크리스마스],2025-12-20~2026-02-07,강북문화예술회관 강북진달래홀 갤러리,강북문화재단,2025.12.20 0:00,2026.2.7 0:00,127.0138781,37.64098979,957112.4373183844,1960279.4021708544
전시/미술,강서구,"[강서문화원] 경계의 빛, 낮과 밤의 대화",2025-12-20~2025-12-31,강서아트리움 1층 갤러리 서,강서문화원,2025.12.20 0:00,2025.12.31 0:00,126.8376421,37.53754309,941483.1217112462,1948897.5514088664
전시/미술,성동구,"[성동문화재단] 2025 예술교육 성과공유 전시 [안녕 다름, 안녕 닮음 시즌4]",2025-12-20~2025-12-28,갤러리허브,성동문화재단,2025.12.20 0:00,2025.12.28 0:00,127.0383942,37.56144175,959231.9699724594,1951442.981977041
축제-기타,성북구,[성북여성문화센터] 따뜻하장 로비상회,2025-12-20~2025-12-20,"성북여성문화센터(성북로4길 177, 성북구민회관)",성북문화재단,2025.12.20 0:00,2025.12.20 0:00,127.0086624,37.59561707,956625.9347023956,1955247.881112801
교육/체험,구로구,최종민 일러스트레이터와 함께하는 아이패드 드로잉: 크리스마스 그림그리기,2025-12-20~2025-12-20,서울아트책보고 워크숍룸,서울아트책보고,2025.12.20 0:00,2025.12.20 0:00,126.8670887,37.49821257,944055.292337661,1944516.1196441173
콘서트,강북구,[강북문화재단] 2025 강북구립소년소녀합창단 창단 8주년 기념 정기연주회,2025-12-20~2025-12-20,강북문화예술회관 강북진달래홀,강북문화재단,2025.12.20 0:00,2025.12.20 0:00,127.0138781,37.64098979,957112.4373183844,1960279.4021708544
국악,영등포구,"[영등포문화재단] 기획공연(열린극장) [장사익 소리판 - 송년의 노래, 영등포의 밤]",2025-12-20~2025-12-20,영등포아트홀,영등포문화재단,2025.12.20 0:00,2025.12.20 0:00,126.9001093,37.52600873,946993.7611411518,1947580.8337351324
콘서트,강북구,[세종문화회관] 2025 꿈의숲 밴드 콘서트 : 프롬올투휴먼&오월오일,2025-12-20~2025-12-20,꿈의숲 퍼포먼스홀,세종문화회관,2025.12.20 0:00,2025.12.20 0:00,127.0443247,37.62025446,959787.3985020012,1957965.417404323
축제-전통/역사,중구,"[남산골한옥마을] 2025 남산골 세시절기 [동지, 한 해를 잇다]",2025-12-20~2025-12-20,남산골한옥마을,남산골한옥마을,2025.12.20 0:00,2025.12.20 0:00,126.9944401,37.55930493,955348.7383307692,1951225.886590629
콘서트,종로구,[대한민국역사박물관] 특별전 연계 - 낭독과 음악으로 그리는 [밤풍경],2025-12-20~2025-12-20,대한민국역사박물관 3층,기타,2025.12.20 0:00,2025.12.20 0:00,126.9783394,37.57371361,953935.5816105572,1952832.2296102943
교육/체험,은평구,[은평문화재단] 2025 생활밀착형 문화예술교육 지원사업 가가호호-원데이 클래스 [소원트리와 함께하는 반짝반짝 크리스마스 캔들 만들기],2025-12-20~2025-12-20,은평문화예술회관 소회의실,은평문화재단,2025.12.20 0:00,2025.12.20 0:00,126.9279017,37.60369969,949501.9867598976,1956184.9809773865
연극,관악구,[관악문화재단] 연극 [늘근도둑이야기],2025-12-20~2025-12-20,관악문화재단 관악아트홀,관악문화재단,2025.12.20 0:00,2025.12.20 0:00,126.9449624,37.46755336,950918.7635116624,1941071.2328111068
클래식,강북구,[강북문화재단] 위대한 클래식 작곡가들 [베토벤 with 피아니스트 노예진 ＆ OES 카메라타],2025-12-20~2025-12-20,강북문화예술회관 강북소나무홀,강북문화재단,2025.12.20 0:00,2025.12.20 0:00,127.0138781,37.64098979,957112.4373183844,1960279.4021708544
교육/체험,강서구,"2025 서울식물원 기획전 《우리들의 자연, 행성적 공존》 특별 도슨트 [감정의 붉은면]",2025-12-20~2025-12-20,"서울식물원 온실, 보타닉홀",서울식물원,2025.12.20 0:00,2025.12.20 0:00,126.8350072,37.56965709,941275.5407502056,1952462.1011008124
교육/체험,은평구,"[증산정보도서관] 파쳄작은도서관 그림책감정표현놀이 프로그램 [마음아, 놀자!]",2025-12-20~2025-12-20,파쳄작은도서관,은평구청,2025.12.20 0:00,2025.12.20 0:00,126.9076713,37.58280944,947701.6546022428,1953878.3655357205
교육/체험,은평구,"[구립증산정보도서관] 파쳄작은도서관과 함께 하는 [책이랑 놀자, 이렇게!] 12월편",2025-12-20~2025-12-20,파쳄작은도서관,은평구청,2025.12.20 0:00,2025.12.20 0:00,126.9076713,37.58280944,947701.6546022428,1953878.3655357205
교육/체험,은평구,문예북흥 No.51 - 『영혼의 물질적인 밤』을 지샌 이장욱의 '에크리(쓰기)'. 삶과 문학의 지평선이 뒤섞인다.,2025-12-20~2025-12-20,이호철 북콘서트홀,은평역사한옥박물관,2025.12.20 0:00,2025.12.20 0:00,126.9264997,37.6139965,949385.2123380104,1957328.1270995813
교육/체험,노원구,[서울시립 북서울미술관] 《지구 울림 - 헤르츠앤도우》 퍼포먼스와 토크 [행성적 듣기를 위한 사운드],2025-12-20~2025-12-20,서울시립 북서울미술관 B1 다목적홀,서울시립미술관,2025.12.20 0:00,2025.12.20 0:00,127.0668656,37.64066045,961787.05599691,1960219.9602199816
콘서트,종로구,송영주 솔로 피아노 for Christmas [Winter Story],2025-12-20~2025-12-20,JCC 아트센터 콘서트홀,기타,2025.12.20 0:00,2025.12.20 0:00,127.0018857,37.58718318,956022.7380281908,1954315.3308952665
클래식,종로구,마에스트로 금난새와 함께하는 푸근한 음악회,2025-12-20~2025-12-20,서울특별시 종로구 평창문화로 70 서울아트센터 도암홀,기타,2025.12.20 0:00,2025.12.20 0:00,126.9679065,37.60570799,953034.4231392008,1956387.0303320768
콘서트,구로구,[구로문화재단] 2025 송년콘서트 [자이언티 & 원슈타인],2025-12-20~2025-12-20,구로아트밸리 예술극장,구로문화재단,2025.12.20 0:00,2025.12.20 0:00,126.890315,37.49662515,946107.2063977588,1944326.4518821645
전시/미술,노원구,"[노원문화재단] 인상파, 찬란한 순간들: 모네, 르누아르, 반 고흐 그리고 세잔",2025-12-19~2026-05-31,노원문화예술회관 4층 노원아트뮤지엄,노원문화재단,2025.12.19 0:00,2026.5.31 0:00,127.0802671,37.65023685,962974.1523099073,1961277.0507001863
축제-시민화합,중구,2025-2026 서울광장 스케이트장,2025-12-19~2026-02-08,서울광장,서울시청,2025.12.19 0:00,2026.2.8 0:00,126.9776978,37.56533387,953873.7581932576,1951902.8528827687
축제-기타,서초구,[미래한강본부] 2025 한강페스티벌-겨울 [Hangang River Festival-Winter],2025-12-19~2025-12-31,"한강공원 일대(반포, 여의도 중심)",미래한강본부,2025.12.19 0:00,2025.12.31 0:00,126.9952696,37.50976948,955392.5049729798,1945729.8114272216
축제-문화/예술,서초구,봄2025 한강페스티벌 겨울 [ON한강],2025-12-19~2025-12-28,반포한강공원 세빛섬 앞 둔치,미래한강본부,2025.12.19 0:00,2025.12.28 0:00,126.9952696,37.50976948,955392.5049729798,1945729.8114272216
축제-문화/예술,광진구,2025 로맨틱 한강 [크리스마스 마켓],2025-12-19~2025-12-25,뚝섬 한강공원 자벌레 & 청담대교 하부,미래한강본부,2025.12.19 0:00,2025.12.25 0:00,127.0739782,37.52936457,962358.5623426568,1947869.3614787608
연극,종로구,[종로문화재단] 판타지 밴드 시어터 [산타찾기],2025-12-19~2025-12-25,아이들극장,종로문화재단,2025.12.19 0:00,2025.12.25 0:00,126.9983016,37.59029702,955708.1500141816,1954662.481253094
전시/미술,종로구,창립 12주년 기념전 [건축사 윤정훈 전시회],2025-12-19~2025-12-21,갤러리 인덱스,기타,2025.12.19 0:00,2025.12.21 0:00,126.9844305,37.57419669,954473.7444830524,1952882.8561881275
전시/미술,서초구,[양재aT센터] 에그테크코리아 2025,2025-12-19~2025-12-21,양재aT센터 제1전시장,기타,2025.12.19 0:00,2025.12.21 0:00,127.0391364,37.46827871,959246.8907725696,1941106.7931689448
무용,성동구,[성동문화재단] 크리스마스 발레 [호두까기 인형],2025-12-19~2025-12-20,소월아트홀 (월요일 휴관),성동문화재단,2025.12.19 0:00,2025.12.20 0:00,127.0360064,37.55930723,959019.9143347088,1951207.2066893373
클래식,종로구,[세종문화회관] 합창과 문학의 만남 [너를 두고],2025-12-19~2025-12-20,세종체임버홀,세종문화회관,2025.12.19 0:00,2025.12.20 0:00,126.9760053,37.5726241,953728.7969967966,1952712.5005738556
국악,중구,2025 국립극장 [송년판소리],2025-12-19~2025-12-20,국립극장 달오름극장,국립극장,2025.12.19 0:00,2025.12.20 0:00,126.9992673,37.55199491,955770.761158916,1950412.595648736
축제-문화/예술,관악구,[관악문화재단] 2025 청년정책페스타,2025-12-19~2025-12-20,관악청년청 전층,관악문화재단,2025.12.19 0:00,2025.12.20 0:00,126.9449624,37.46755336,950918.7635116624,1941071.2328111068
국악,중구,[서울남산국악당] 판소리 ?스토리3 : 현진건 편,2025-12-19~2025-12-20,서울남산국악당 크라운해태홀,서울남산국악당,2025.12.19 0:00,2025.12.20 0:00,126.9940216,37.55834995,955311.2056256016,1951120.1353555543
클래식,송파구,[서울시립교향악단] 2025 서울시향 얍 판 츠베덴의 베토벤 [합창] ②,2025-12-19~2025-12-19,롯데콘서트홀,서울시립교향악단,2025.12.19 0:00,2025.12.19 0:00,127.1044469,37.51375196,965043.3727478888,1946125.4822905725
국악,중랑구,[문화N중랑] 연희집단 The 광대 2025년 창작주체 [당골포차],2025-12-19~2025-12-19,중랑구민회관 대공연장,중랑문화재단,2025.12.19 0:00,2025.12.19 0:00,127.085065,37.57384127,963359.9284748958,1952799.4215740296
국악,서초구,제51회 신악회 정기연주회 [Being as Breathing 대금 :송지윤],2025-12-19~2025-12-19,정효아트홀,기타,2025.12.19 0:00,2025.12.19 0:00,127.0196258,37.4875493,957532.5095129194,1943253.3559097128
