상세영업상태명,소재지전체주소,도로명전체주소,사업장명,숙박업상세명,X좌표(Bessel),Y좌표(Bessel),X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM),geometry,자치구,행정동,ADSTRD_CD,ADSTRD_NM
영업,서울특별시 구로구 구로동 1127-50,"서울특별시 구로구 디지털로32다길 20-6, 1층 (구로동)",Nine RoD,숙박업(생활),191039.582188916,442227.22816683,126.8994805737937,37.48219158032681,946907.1853688592,1942719.9247292653,POINT (946907.1853688593 1942719.9247292655),구로구,구로동,11530540,구로3동
영업,서울특별시 중구 광희동1가 263-2 B동 2-12층,"서울특별시 중구 마른내로 150, B동 2-12층 (광희동1가)",신아호텔,숙박업(생활),200330.974108644,451373.159429215,127.00453408176097,37.56463999508922,956243.3692247836,1951813.037299616,POINT (956243.3692247836 1951813.037299616),중구,광희동1가,11140590,광희동
영업,서울특별시 중구 필동1가 43-1,"서울특별시 중구 충무로 3, 3~20층 (필동1가)",빌리브 인더시티 남산,숙박업(생활),199297.876590178,451025.516575091,126.9928411924325,37.5615074906524,955208.83978505,1951471.0102721136,POINT (955208.8397850501 1951471.0102721136),중구,필동1가,11140570,필동
영업,서울특별시 중구 명동2가 91-1,"서울특별시 중구 명동2길 16, 2층 (명동2가)",무무네 스테이(MUMUNE STAY),일반호텔,198380.283410599,451154.940931909,126.98245542928248,37.56267237010701,954292.297101086,1951605.2481633197,POINT (954292.2971010861 1951605.2481633194),중구,명동2가,11140550,명동
영업,서울특별시 종로구 관수동 18-1,서울특별시 종로구 수표로18길 5 (관수동),위코스테이 인사동,숙박업(생활),199037.974854028,451905.533009293,126.98989835158258,37.56943608622456,954953.7073850636,1952352.055002073,POINT (954953.7073850636 1952352.055002073),종로구,관수동,11110615,종로1·2·3·4가동
영업,서울특별시 종로구 창신동 464-6,"서울특별시 종로구 종로 294, 3층 (창신동)",만소호스텔,여관업,200876.602915538,452108.981034905,127.01071066906692,37.57126934244975,956792.6820524985,1952545.67210734,POINT (956792.6820524985 1952545.6721073398),종로구,창신동,11110670,창신1동
영업,서울특별시 중구 남창동 211,"서울특별시 중구 퇴계로2길 20, 지하1~지상4층 (남창동)",케이팝 서울타워 호스텔,관광호텔,197912.569432128,450501.826339044,126.9771636009471,37.55678690290817,953821.305934444,1950954.8720389337,POINT (953821.3059344441 1950954.8720389337),중구,남창동,11140540,회현동
영업,서울특별시 중구 남대문로5가 167,"서울특별시 중구 세종대로4길 21, 1~9층 (남대문로5가)",라움169,일반호텔,197750.442073136,450638.312256635,126.9753283031358,37.55801623443939,953659.9663180304,1951092.1633940612,POINT (953659.9663180305 1951092.1633940614),중구,남대문로5가,11140540,회현동
영업,서울특별시 광진구 화양동 23-3,서울특별시 광진구 동일로30길 10 (화양동),하일호스텔,관광호텔,205913.766725576,449481.459608894,127.06770857206322,37.547577454474194,961813.8915802456,1949892.502805855,POINT (961813.8915802457 1949892.5028058547),광진구,화양동,11215710,화양동
영업,서울특별시 서대문구 대현동 90-85,서울특별시 서대문구 신촌로 157 (대현동),화영호스텔,관광호텔,194948.135636533,450516.885928437,126.94361368803897,37.55691090205951,950858.1211808416,1950985.6409066103,POINT (950858.1211808415 1950985.6409066105),서대문구,대현동,11410585,신촌동
영업,서울특별시 서대문구 창천동 29-72 피엔에스호텔,"서울특별시 서대문구 연세로2가길 4, 피엔에스호텔 (창천동)",메이븐 신촌 호텔,관광호텔,194417.265399993,450431.708419531,126.93760624182816,37.55614036248935,950327.0077749954,1950903.311114004,POINT (950327.0077749954 1950903.3111140039),서대문구,창천동,11410585,신촌동
영업,서울특별시 용산구 이태원동 130-9,"서울특별시 용산구 이태원로26길 17-1, 지하1층 ~ 3층 (이태원동)",호스텔 펠라즈,숙박업(생활),199369.871968405,447943.699776291,126.99365896311949,37.53374064251053,955264.4726345624,1948390.0371974064,POINT (955264.4726345623 1948390.0371974062),용산구,이태원동,11170650,이태원1동
영업,서울특별시 광진구 화양동 18-32,서울특별시 광진구 광나루로 354 (화양동),호스텔 온기,관광호텔,206041.488817405,449522.62415745,127.0691542162369,37.54794752431032,961941.78015276,1949932.9737674368,POINT (961941.7801527601 1949932.9737674368),광진구,화양동,11215710,화양동
영업,서울특별시 중구 을지로2가 199-13 4~9층,"서울특별시 중구 명동3길 36, 4~9층 (을지로2가)",(주)라인호텔명동,일반호텔,198493.659133785,451451.478517141,126.98373801883524,37.56534434095703,954407.200124112,1951901.0669980503,POINT (954407.2001241121 1951901.0669980505),중구,을지로2가,11140550,명동
영업,서울특별시 중구 을지로6가 18-130번지 10층,"서울특별시 중구 을지로 255, 10층 (을지로6가)",(주)케이스타 호텔,관광호텔,200513.524528228,451579.099838143,127.0066004291739,37.5664954240064,956426.9387950224,1952017.9276553532,POINT (956426.9387950223 1952017.9276553534),중구,을지로6가,11140590,광희동
영업,서울특별시 영등포구 영등포동4가 426-2,"서울특별시 영등포구 경인로 823-2, 3층,4층,5층층 (영등포동4가)",프라임레지던스,숙박업(생활),191478.014118646,445967.326555221,126.9043939273633,37.5158939530649,947365.2485666284,1946456.2479031484,POINT (947365.2485666284 1946456.2479031484),영등포구,영등포동4가,11560535,영등포동
영업,서울특별시 영등포구 영등포동1가 106번지,서울특별시 영등포구 신길로 293 (영등포동1가),토요코인 서울영등포,관광호텔,192147.071374183,446166.198579975,126.91195966231052,37.51769176018253,948035.0986738912,1946651.498796596,POINT (948035.0986738913 1946651.498796596),영등포구,영등포동1가,11560535,영등포동
영업,서울특별시 종로구 이화동 105-2번지 glue hotel,"서울특별시 종로구 율곡로 228, glue hotel (이화동)",글루호텔,관광호텔,200280.218939597,452611.575936538,127.00395996672916,37.57579799204412,956199.2013411293,1953051.229204376,POINT (956199.2013411291 1953051.2292043758),종로구,이화동,11110640,이화동
영업,서울특별시 종로구 낙원동 134-2,서울특별시 종로구 돈화문로11길 37 (낙원동),목시 서울 인사동 호텔,관광호텔,198988.983646221,452223.097221066,126.98934333677352,37.57229724527856,954906.419644794,1952669.7528413653,POINT (954906.419644794 1952669.7528413653),종로구,낙원동,11110615,종로1·2·3·4가동
영업,서울특별시 송파구 방이동 36-17번지 호텔 더 캐슬,"서울특별시 송파구 올림픽로32길 7, 호텔 더 캐슬 (방이동)",호텔 더 캐슬(방이1),관광호텔,209564.948271123,445916.537644767,127.10897939335058,37.51542739326495,965444.701659857,1946309.6865463092,POINT (965444.701659857 1946309.6865463094),송파구,방이동,11710562,방이2동
영업,서울특별시 중구 충무로1가 24-1 밀레오레 명동,"서울특별시 중구 퇴계로 115, 4-17층 (충무로1가)",모헤닉 호텔 서울 명동,일반호텔,198562.632745775,450975.116406048,126.98451968835946,37.561052485721454,954473.6207147286,1951424.5281898556,POINT (954473.6207147286 1951424.5281898554),중구,충무로1가,11140550,명동
영업,서울특별시 중구 쌍림동 3-1 3~6층,"서울특별시 중구 퇴계로 301, 3~6층 (쌍림동)",Sweet stay at Joy's,숙박업(생활),200385.985779579,451300.089068941,127.00515670671108,37.56398162172975,956297.9715396778,1951739.704399316,POINT (956297.9715396778 1951739.704399316),중구,쌍림동,11140590,광희동
영업,서울특별시 은평구 대조동 15-132,서울특별시 은평구 진흥로 179 (대조동),포레스타호텔,관광호텔,193699.928737406,456254.05836331,126.92943734271678,37.6085942100495,949640.8361137584,1956727.1838969025,POINT (949640.8361137584 1956727.1838969025),은평구,대조동,11380570,대조동
영업,서울특별시 중랑구 상봉동 89-35번지,서울특별시 중랑구 봉우재로33길 85-4 (상봉동),사랑만들기호텔,일반호텔,207859.169392949,454864.602149758,127.08978004580558,37.59606445994542,963787.0509186008,1955263.1446536449,POINT (963787.0509186008 1955263.1446536449),중랑구,상봉동,11260590,상봉2동
영업,서울특별시 금천구 시흥동 888-11,"서울특별시 금천구 시흥대로56길 15, 트리플8호텔 (시흥동)",트리플8호텔,관광호텔,191301.371054373,438953.867911208,126.9024793141089,37.45270104507584,947151.5543665818,1939446.451417132,POINT (947151.5543665818 1939446.451417132),금천구,시흥동,11545670,시흥1동
영업,서울특별시 중구 충무로1가 22-4번지 6층,"서울특별시 중구 명동8나길 18, 6층 (충무로1가)",아트래블홈(ARTRAVEL HOME),일반호텔,198517.053029629,451032.006873384,126.98400369301756,37.56156498734239,954428.3606990548,1951481.6377372344,POINT (954428.3606990548 1951481.6377372346),중구,충무로1가,11140550,명동
영업,서울특별시 종로구 관철동 12-15 평구빌딩 5층,"서울특별시 종로구 종로12길 21, 평구빌딩 5층 (관철동)",유에이치 스위트 종각 5F,숙박업(생활),198692.627926952,451865.694333484,126.98598932017474,37.56907669504351,954608.286332756,1952314.0634165087,POINT (954608.286332756 1952314.0634165087),종로구,관철동,11110615,종로1·2·3·4가동
영업,서울특별시 종로구 관철동 12-15 평구빌딩 3층,"서울특별시 종로구 종로12길 21, 평구빌딩 3층 (관철동)",유에이치스위트 광화문,숙박업(생활),198692.627926952,451865.694333484,126.98598932017474,37.56907669504351,954608.286332756,1952314.0634165087,POINT (954608.286332756 1952314.0634165087),종로구,관철동,11110615,종로1·2·3·4가동
영업,서울특별시 종로구 관철동 12-15 평구빌딩 4층,"서울특별시 종로구 종로12길 21, 평구빌딩 4층 (관철동)",유에이치스위트 더 종로,숙박업(생활),198692.627926952,451865.694333484,126.98598932017474,37.56907669504351,954608.286332756,1952314.0634165087,POINT (954608.286332756 1952314.0634165087),종로구,관철동,11110615,종로1·2·3·4가동
영업,서울특별시 종로구 숭인동 70-25 영진모텔,"서울특별시 종로구 지봉로12가길 63, 영진여관 (숭인동)",서울 게스트하우스,숙박업 기타,201378.94229242,452482.200375273,127.0163976372936,37.57463142247687,957296.7999501284,1952916.078362327,POINT (957296.7999501283 1952916.078362327),종로구,숭인동,11110700,숭인1동
영업,서울특별시 송파구 가락동 73-1 관광호텔,"서울특별시 송파구 송이로 104, 관광호텔 (가락동)",부티크호텔 XYM,관광호텔,210664.369854452,443861.184407649,127.1213855318552,37.4968967775588,966532.7905439376,1944249.3529374849,POINT (966532.7905439376 1944249.3529374849),송파구,가락동,11710620,가락본동
영업,서울특별시 관악구 신림동 1569-6번지,서울특별시 관악구 난곡로64길 7 (신림동),위드 어반,숙박업(생활),192424.148947448,442135.576964453,126.91513567335954,37.48137828346418,948290.7282577348,1942620.9815952613,POINT (948290.7282577347 1942620.9815952613),관악구,신림동,11620765,미성동
영업,서울특별시 금천구 독산동 1006-112,서울특별시 금천구 범안로12길 29-29 (독산동),로즈데일 인 독산,숙박업(생활),190517.410148318,440300.104174246,126.8936017750922,37.46482292438037,946375.018858004,1940796.3118003523,POINT (946375.018858004 1940796.3118003525),금천구,독산동,11545610,독산1동
영업,서울특별시 중랑구 면목동 147-6,서울특별시 중랑구 겸재로 115 (면목동),팰리스,숙박업(생활),207047.664753816,453862.007332981,127.08058151421191,37.58703775591419,962970.5570990728,1954265.262551169,POINT (962970.5570990727 1954265.2625511687),중랑구,면목동,11260520,면목2동
영업,서울특별시 중구 충무로1가 24-1,"서울특별시 중구 퇴계로 115, 3층~17층 (충무로1가)",명동밀리오레 비엠호텔,일반호텔,198562.632745775,450975.116406048,126.98451968835946,37.561052485721454,954473.6207147286,1951424.5281898556,POINT (954473.6207147286 1951424.5281898554),중구,충무로1가,11140550,명동
