,순번,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
2799,73966,202505,경강선,판교,6,0,812,9,2755,8194,6628,18753,4417,37108,3128,19049,3476,12842,5797,10106,6202,7482,5599,5571,7114,5579,10101,5623,15534,7338,20331,7389,24045,7004,17446,3747,19345,3139,11105,2022,6549,1282,2026,808,2,217,0,0,0,0,0,0,20250603
2800,73967,202505,경강선,이매,22,3,765,36,1698,1057,4050,2399,2891,3259,1700,1513,1695,1255,1530,1137,1680,1329,1379,1494,1386,1348,1731,1670,2057,1869,2174,2676,2013,2915,1349,1650,1252,1171,1363,891,1050,701,369,497,14,86,0,0,0,0,0,0,20250603
2801,73968,202505,경강선,삼동,0,0,1863,66,5431,1335,12455,2230,13492,2200,7582,1159,4866,1313,3954,1376,3212,2091,2979,2020,2386,2573,2324,3728,2667,5020,3293,8250,2774,9411,1400,8364,999,5273,693,4817,413,3393,140,1865,16,56,0,0,0,0,0,0,20250603
2802,73969,202505,경강선,경기광주,0,0,3325,336,17576,2855,42039,6285,43804,9739,21088,5529,15494,5177,12618,5665,11913,7028,10258,7753,9025,9571,9448,11255,11240,16078,10912,21970,8641,34196,4771,31602,3726,18984,2626,15266,1931,11672,568,5893,52,105,0,0,0,0,0,0,20250603
2803,73970,202505,경강선,초월,0,0,2074,142,8143,1830,18320,4534,20251,5416,9117,2372,6749,2370,5606,2335,5423,3153,4700,3285,4419,4295,3904,5012,5377,7401,6244,9040,4910,14901,2496,11374,1844,8487,1316,7430,715,7009,279,4423,29,62,0,0,0,0,0,0,20250603
2804,73971,202505,경강선,곤지암,2,0,1178,303,3184,2571,7619,4966,6732,6665,5155,2901,3743,2780,3948,3463,4008,2590,3993,3878,3666,3472,4789,3749,5448,4659,7353,5859,6051,6804,2358,5279,1946,4038,1297,3320,453,2994,142,1803,4,430,0,0,0,0,0,0,20250603
2805,73972,202505,경강선,신둔도예촌,0,0,947,20,3037,484,6078,2889,5030,3300,3844,1854,3059,1512,2506,1883,2577,1567,2474,1599,2288,1829,2903,2173,3175,2825,4247,4502,3286,4138,1478,4786,1125,3096,741,2669,262,2424,82,1394,2,348,0,0,0,0,0,0,20250603
2806,73973,202505,경강선,이천,5,0,966,68,3559,1994,8753,6455,7525,8608,6578,4696,6260,4498,5643,4297,5200,4973,5160,4734,5358,4964,5476,5311,7300,6717,7524,7668,7490,9585,3996,8164,3361,6425,2626,4789,1224,3726,608,2473,20,1048,0,0,0,0,0,0,20250603
2807,73974,202505,경강선,부발,3,0,1331,52,3813,1935,7900,6919,6418,6104,5749,2706,4399,2312,4745,2365,4038,2924,3756,2961,3475,2950,4754,3432,5028,4837,7659,5830,5350,6572,3639,5191,2235,4961,1366,5023,660,3969,450,3724,14,1503,0,0,0,0,0,0,20250603
2808,73975,202505,경강선,세종대왕릉,0,0,271,7,619,265,874,771,979,1063,910,874,927,682,738,919,645,828,792,521,834,749,751,737,986,856,933,716,795,985,373,719,248,543,148,466,60,440,10,229,0,92,0,0,0,0,0,0,20250603
2809,73976,202505,경강선,여주,10,0,2473,16,5050,960,9974,3836,8402,5622,7436,8912,6552,6431,5809,9274,6020,6493,7232,4891,8813,6093,9854,5832,10827,6788,9013,8348,7253,9540,4022,8745,3085,7206,2411,3634,1036,6524,287,3594,4,1512,0,0,0,0,0,0,20250603
