,ROUTE_ID,노선명,순번,NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
11318,100100030,151,17,108000053,9141,화계사입구사거리,127.0168721385,37.6339931438
11319,100100172,1165,17,108000052,9140,화계사입구사거리,127.016899104,37.6342866157
11320,102900001,마포01,17,102900096,3520,도원삼성래미안아파트101동앞,126.956297,37.539022
11321,115000010,N64,17,115000119,16216,명덕고등학교.서울스타병원,126.8363717464,37.5532912365
11322,100100014,109,17,108000080,9168,송천초등학교.미아뉴타운입구,127.0221103696,37.6154596915
11323,100100078,503,17,117000028,18114,금천패션아울렛사거리.W몰,126.8878763257,37.4776616914
11324,100100288,5714,17,117000028,18114,금천패션아울렛사거리.W몰,126.8878763257,37.4776616914
11325,100100084,571,17,116000060,17146,구로역.구로기계공구상가,126.8793093405,37.5035680895
11326,100100009,104,17,107000003,8003,길음뉴타운,127.0242688702,37.6037502378
11327,100100146,1130,17,110000180,11280,월계현대아파트,127.06336,37.619835
11328,100100149,1133,17,108000119,9207,강북구청사거리.번1동주민센터,127.028345,37.638748
11329,100100010,105,17,106000009,7103,묵동삼거리.먹골역,127.0771199228,37.6125566965
11330,100100056,341,17,123000376,24468,풍납현대아파트,127.1193610526,37.5287587812
11331,100100604,4211,17,122000322,23429,압구정역3번출구,127.0287139855,37.5260014748
11332,100100605,463,17,122000322,23429,압구정역3번출구,127.0287139855,37.5260014748
11333,111000028,709,17,111000114,12202,연서시장,126.9225340914,37.619596645
11334,100100103,701,17,111000114,12202,연서시장,126.9225340914,37.619596645
11335,111000027,706,17,111000031,12119,연신내역,126.92256,37.617346
11336,100100111,720,17,111000929,12020,동명여고.천주교불광동성당,126.9240393187,37.6161853499
11337,100100304,6627,17,115000043,16139,강서구청.한국건강관리협회,126.8505841855,37.552627948
11338,100100566,1115,17,108000084,9172,성암국제무역고.성암여중,127.0249842203,37.6183241886
11339,100100329,6657,17,115000118,16215,명덕고등학교.서울스타병원,126.836523,37.553092
11340,115900005,강서05,17,115000118,16215,명덕고등학교.서울스타병원,126.836523,37.553092
11341,107900009,성북22,17,107900330,8850,돈암코오롱하늘채아파트,127.01137,37.598794
11342,100100497,653,17,114000249,15353,경창빌딩,126.838582,37.51866
11343,100100521,6515,17,118000005,19005,영등포역,126.905092,37.515863
11344,100100083,540,17,226000136,60021,샘마을단지.대안중.대안여중,126.967650141,37.3746206349
11345,100100129,1014,17,107000093,8183,보문동주민센터,127.0218634882,37.5804514958
11346,100100185,1711,17,101000290,2286,시청앞.덕수궁,126.9768355729,37.5662122834
11347,102900002,용산02,17,102000046,3140,용산경찰서,126.9690615428,37.5399994643
11348,101900002,용산04,17,102000046,3140,용산경찰서,126.9690615428,37.5399994643
11349,100100105,702B,17,111000060,12148,선진운수종점,126.910862,37.613895
11350,108000001,8551,17,119000106,20199,상도2동아이파크.포스코더샵아파트,126.9408309246,37.5014793109
11351,110000002,173,17,107000060,8150,종암경찰서,127.0330443723,37.6014326326
11352,100100099,652,17,115000125,16222,서울호서전문학교.등촌주공3단지아파트,126.839755,37.562662
11353,100100032,163,17,107000001,8001,길음2동주민센터,127.028209324,37.6069061871
11354,110000005,8101,17,100000005,1005,혜화동로터리.여운형활동터,127.001744,37.586243
11355,111000008,674,17,114000044,15146,목동한신청구아파트,126.8803505399,37.5407286601
11356,120900003,관악03,17,120900109,21770,경천교회,126.9405543681,37.4879473031
11357,100100023,144,17,108000085,9173,성암국제무역고.성암여중,127.0255230955,37.6179423926
11358,112000003,8773출근,17,111000038,12126,은평구청,126.930407158,37.6014275543
11359,112000007,8773퇴근,17,111000038,12126,은평구청,126.930407158,37.6014275543
11360,100100511,760,17,218000201,35287,신주택,126.7978764493,37.6289145916
11361,119900021,동작12,17,119900171,20804,남부교회,126.9320719695,37.5091952385
11362,100100294,6514,17,115000046,16142,우장초등학교,126.8477782735,37.549366909
11363,100100071,461,17,122000276,23380,수서삼성아파트앞,127.0909893034,37.4843993977
11364,100100062,401,17,122000276,23380,수서삼성아파트앞,127.0909893034,37.4843993977
11365,100100063,402,17,122000276,23380,수서삼성아파트앞,127.0909893034,37.4843993977
11366,115000012,6633,17,115000080,16177,용문사.시립화곡청소년센터,126.8633458107,37.5370972069
11367,100100097,650,17,115000082,16179,목동사거리,126.863608811,37.5316337661
11368,100100124,0017,17,102000216,3310,남이장군사당,126.9578221125,37.5366080232
11369,100100501,3319,17,124000088,25188,오륜교회앞,127.1320753742,37.5224763077
