,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,지하철역코드,지하철역명,리프트,엘리베이터
2828,LINK,,0,,"LINESTRING(126.93539290625857 37.60196598128281,126.93558612876772 37.60153197104879)",150419,1011.0,159253.0,214025.0,51.103,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2829,LINK,,0,,"LINESTRING(126.93588942958914 37.60070796648676,126.93574837086473 37.600651755002424)",145303,1000.0,214990.0,214991.0,13.931,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2830,LINK,,0,,"LINESTRING(126.93558612876772 37.60153197104879,126.93567783042319 37.60158642002017)",145777,1011.0,214025.0,213301.0,10.104,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2831,LINK,,0,,"LINESTRING(126.93578883831053 37.60053336314217,126.93567371068843 37.60067659926584)",144269,1011.0,214023.0,159661.0,18.87,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2832,LINK,,0,,"LINESTRING(126.93528868261603 37.60140902751558,126.9354009593031 37.601257353131935,126.9354009593031 37.601257353131935)",144956,1000.0,159175.0,214988.0,19.537,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2833,LINK,,0,,"LINESTRING(126.93577419706187 37.60138619901346,126.93584224201496 37.60123831742696)",138464,1000.0,214989.0,213302.0,17.479,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2834,LINK,,0,,"LINESTRING(126.93577419706187 37.60138619901346,126.93567783042319 37.60158642002017)",138628,1000.0,214989.0,213301.0,23.796,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2835,LINK,,0,,"LINESTRING(126.93554790446751 37.6013065513944,126.93577419706187 37.60138619901346)",126631,1000.0,214987.0,214989.0,21.851,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2836,LINK,,0,,"LINESTRING(126.93574837086473 37.600651755002424,126.93544141197621 37.60074767575487)",102849,1000.0,214991.0,159662.0,29.122,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2837,LINK,,0,,"LINESTRING(126.93612308551579 37.600608824801775,126.9362060863985 37.60070689991479)",110546,1011.0,214022.0,213303.0,13.123,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2838,LINK,,0,,"LINESTRING(126.93568861541915 37.60060061273248,126.93578883831053 37.60053336314217)",98580,1011.0,213304.0,214023.0,11.578,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2839,LINK,,0,,"LINESTRING(126.9354009593031 37.601257353131935,126.93538909103631 37.60111060704459)",99021,1000.0,214988.0,213300.0,16.321,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2840,LINK,,0,,"LINESTRING(126.9358072226042 37.60116070881984,126.93612308551579 37.600608824801775)",77695,1011.0,214024.0,214022.0,67.305,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2841,LINK,,0,,"LINESTRING(126.9354009593031 37.601257353131935,126.93554790446751 37.6013065513944)",47589,1000.0,214988.0,214987.0,14.078,1138000000,은평구,1138010200,녹번동,256,녹번,0,0
2842,LINK,,0,,"LINESTRING(126.93578883831053 37.60053336314217,126.9362563536995 37.59966538387979,126.93681820513746 37.59911363045582,126.93721289395562 37.598762524583876)",2940,1011.0,214023.0,155486.0,235.907,1138000000,은평구,1138010700,응암동,256,녹번,0,0
2843,NODE,POINT(126.92181568114502 37.618617715338665),77059,1.0,,0,,,,,1138000000,은평구,1138010300,불광동,257,연신내,0,0
2844,NODE,POINT(126.92277646667375 37.606469890035015),215312,0.0,,0,,,,,1138000000,은평구,1138010200,녹번동,260,역촌,0,0
2845,LINK,,0,,"LINESTRING(126.929549945265 37.61094679315942,126.92986292429882 37.61058013494784)",95189,1000.0,213295.0,213296.0,49.191,1138000000,은평구,1138010300,불광동,255,불광,0,0
2846,LINK,,0,,"LINESTRING(126.92959153303963 37.61111970788008,126.92958881062188 37.61117376260042)",104846,1000.0,214982.0,213293.0,6.004,1138000000,은평구,1138010300,불광동,255,불광,0,0
2847,LINK,,0,,"LINESTRING(126.920386286899 37.619692380452946,126.92065610857462 37.61974006025269,126.92079448222097 37.61957876626287)",247353,1000.0,213290.0,214970.0,46.075,1138000000,은평구,1138010300,불광동,257,연신내,0,0
