기준년월,자치구,현지인방문자수,외지인방문자수,외국인방문자수
202512,동작구,5778342.0,6308922.0,93061.0
202512,마포구,7856394.0,10786650.0,869992.0
202512,서대문구,5240442.0,8079460.0,278439.0
202512,서초구,11278505.0,17399190.0,350252.0
202512,성동구,5633005.0,6931869.0,419981.0
202512,성북구,8190990.0,5181718.0,93886.0
202512,송파구,14081630.0,12254221.0,275289.0
202512,양천구,5634044.0,3467352.0,47015.0
202512,영등포구,8850345.0,10537502.0,321688.0
202512,용산구,5048106.0,10532053.0,684610.0
202512,은평구,5698878.0,3198626.0,64317.0
202512,종로구,4985428.0,13344258.0,941754.0
202512,중구,4343808.0,14098427.0,1985068.0
202512,중랑구,5731520.0,3212594.0,28716.0
