자치구,기초지자체명,현지인방문자수,자치구내 현지인방문자 비율,외지인방문자수,자치구내 외지인방문자 비율,외국인 방문자수
동대문구,청량리동,4307664.0,4.7,3929418.0,5.6,94097.0
동대문구,회기동,4269153.0,4.7,4468317.0,6.3,188533.0
동대문구,휘경1동,4151455.0,4.6,2688612.0,3.8,119025.0
동대문구,휘경2동,4862354.0,5.3,3505012.0,5.0,66073.0
동작구,노량진1동,10178612.0,12.1,10877328.0,14.1,206605.0
동작구,노량진2동,4379448.0,5.2,6564467.0,8.5,123350.0
동작구,대방동,10286146.0,12.2,6941868.0,9.0,92311.0
동작구,사당1동,5150162.0,6.1,9530248.0,12.4,76403.0
동작구,사당2동,7920832.0,9.4,11596414.0,15.0,185645.0
동작구,사당3동,3795236.0,4.5,1229109.0,1.6,23937.0
동작구,사당4동,2960769.0,3.5,1335408.0,1.7,17153.0
동작구,사당5동,3073588.0,3.6,1313022.0,1.7,18874.0
동작구,상도1동,6930592.0,8.2,3911250.0,5.1,139688.0
동작구,상도2동,5461323.0,6.5,2222818.0,2.9,37362.0
동작구,상도3동,3981274.0,4.7,1536756.0,2.0,24277.0
동작구,상도4동,3804812.0,4.5,1484094.0,1.9,25702.0
동작구,신대방1동,2370588.0,2.8,4802004.0,6.2,110306.0
동작구,신대방2동,5230505.0,6.2,7097916.0,9.2,59226.0
동작구,흑석동,8911294.0,10.6,6610432.0,8.6,157589.0
마포구,공덕동,7934958.0,6.1,6931382.0,4.4,446514.0
마포구,대흥동,8523676.0,6.6,8071136.0,5.2,518683.0
마포구,도화동,4997738.0,3.9,6154841.0,3.9,853068.0
마포구,망원1동,7528206.0,5.8,6187380.0,4.0,390237.0
마포구,망원2동,5270716.0,4.1,3885290.0,2.5,154187.0
마포구,상암동,11485576.0,8.9,15256584.0,9.7,667971.0
마포구,서강동,7956798.0,6.2,10380128.0,6.6,634321.0
마포구,서교동,22211200.0,17.2,51702315.0,33.0,6462408.0
마포구,성산1동,5772200.0,4.5,3350711.0,2.1,341278.0
마포구,성산2동,8440436.0,6.5,7865823.0,5.0,132297.0
마포구,신수동,5428286.0,4.2,2720204.0,1.7,201813.0
마포구,아현동,7223216.0,5.6,4883067.0,3.1,406165.0
마포구,연남동,4999211.0,3.9,8737950.0,5.6,1123053.0
마포구,염리동,8609002.0,6.7,5372532.0,3.4,113617.0
마포구,용강동,6406732.0,5.0,4994696.0,3.2,1098138.0
마포구,합정동,6279805.0,4.9,10083542.0,6.4,814382.0
서대문구,남가좌1동,2127380.0,2.8,1474410.0,1.5,49606.0
서대문구,남가좌2동,3791879.0,4.9,2243448.0,2.3,178063.0
서대문구,북가좌1동,2055844.0,2.7,952588.0,1.0,45212.0
서대문구,북가좌2동,3714560.0,4.8,3200218.0,3.2,33576.0
서대문구,북아현동,2417037.0,3.1,2837048.0,2.9,223415.0
서대문구,신촌동,16355577.0,21.3,31295649.0,31.5,1855330.0
서대문구,연희동,9113419.0,11.8,7778127.0,7.8,684547.0
서대문구,천연동,3680992.0,4.8,3436146.0,3.5,76485.0
서대문구,충현동,10554926.0,13.7,36090040.0,36.3,322476.0
서대문구,홍은1동,3604034.0,4.7,1512301.0,1.5,30946.0
서대문구,홍은2동,5359280.0,7.0,2699596.0,2.7,182262.0
서대문구,홍제1동,6307280.0,8.2,2861030.0,2.9,144979.0
서대문구,홍제2동,2490236.0,3.2,1089340.0,1.1,53489.0
