,상세영업상태명,도로명전체주소,사업장명,문화체육업종명,좌표정보x(epsg5174),좌표정보y(epsg5174),지역구분명,지상층수,지하층수,객실수,주변환경명,건물용도명,시설면적,관광숙박업상세명
82,폐업,서울특별시 동대문구 회기로 188-5 (휘경동),드웰동대문(dwell Dongdaemun),관광숙박업,204945.801764162,454123.219581534,준주거지역,10.0,2.0,117.0,,숙박시설,4471.0,호스텔업
83,폐업,서울특별시 강서구 곰달래로 72 (화곡동),호텔 타워,관광숙박업,185863.097607353,447532.962112156,상업지역,8.0,1.0,57.0,유흥업소밀집지역,숙박시설,3356.54,관광호텔업
84,폐업,"서울특별시 강서구 곰달래로 108 (화곡동,외 2필지)",호텔에스,관광숙박업,186202.178143443,447567.06883048,,10.0,3.0,88.0,,,6450.74,관광호텔업
85,폐업,"서울특별시 강남구 봉은사로 120 (역삼동, 호텔 리츠칼튼 서울)",르 메르디앙 서울 호텔,관광숙박업,202299.611121179,444739.274032656,,17.0,7.0,336.0,,호텔,60566.75,관광호텔업
86,폐업,"서울특별시 강서구 방화대로 94 (외발산동, 메이필드 스위트호텔)",메이필드 스위트호텔,관광숙박업,183863.692502412,449443.610735042,,0.0,0.0,31.0,,,2866.56,가족호텔업
87,폐업,서울특별시 강남구 압구정로79길 76  (청담동),호텔프리마Ⅱ,관광숙박업,204674.246980043,447041.788168808,,10.0,2.0,0.0,,호텔,5547.38,
88,폐업,"서울특별시 강남구 봉은사로 410 (삼성동, 라마다서울호텔)",라미드 호텔(RAMID HOTEL),관광숙박업,203943.258999722,445342.390544546,,12.0,3.0,0.0,,호텔,28421.75,
89,폐업,"서울특별시 강남구 봉은사로 459 (삼성동, 자이언트관광호텔)",자이안트,관광숙박업,204324.263443033,445580.187539001,주거지역,6.0,2.0,52.0,기타,숙박시설,5044.38,관광호텔업
90,폐업,"서울특별시 강남구 테헤란로 237 (역삼동, 삼부오피스빌딩)",벨레상스 서울 호텔,관광숙박업,203599.062771687,444556.062267296,,24.0,2.0,0.0,,호텔,72205.69,
91,폐업,"서울특별시 강남구 도산대로 536, 프리마호텔 (청담동)",프리마관광호텔,관광숙박업,204549.998846316,446895.028902481,,9.0,4.0,0.0,,호텔,15637.24,
